"domainID","siteID","horizontalPosition","verticalPosition","startDateTime","endDateTime","PM15Median","PM15Minimum","PM15Maximum","PM15NumPts","PM15MAD","PM15finalQF","PM10Median","PM10Minimum","PM10Maximum","PM10NumPts","PM10MAD","PM10finalQF","PM4Median","PM4Minimum","PM4Maximum","PM4NumPts","PM4MAD","PM4finalQF","PM2.5Median","PM2.5Minimum","PM2.5Maximum","PM2.5NumPts","PM2.5MAD","PM2.5finalQF","PM1Median","PM1Minimum","PM1Maximum","PM1NumPts","PM1MAD","PM1finalQF","PM15sub50RHMedian","PM15sub50RHMinimum","PM15sub50RHMaximum","PM15sub50RHNumPts","PM15sub50RHMAD","PM15sub50RHfinalQF","PM10sub50RHMedian","PM10sub50RHMinimum","PM10sub50RHMaximum","PM10sub50RHNumPts","PM10sub50RHMAD","PM10sub50RHfinalQF","PM4sub50RHMedian","PM4sub50RHMinimum","PM4sub50RHMaximum","PM4sub50RHNumPts","PM4sub50RHMAD","PM4sub50RHfinalQF","PM2.5sub50RHMedian","PM2.5sub50RHMinimum","PM2.5sub50RHMaximum","PM2.5sub50RHNumPts","PM2.5sub50RHMAD","PM2.5sub50RHfinalQF","PM1sub50RHMedian","PM1sub50RHMinimum","PM1sub50RHMaximum","PM1sub50RHNumPts","PM1sub50RHMAD","PM1sub50RHfinalQF"
"D10","RMNP","000","050","2017-12-09T18:00:00Z","2017-12-09T19:00:00Z",0.002,0.001,0.025,263,0,1,0.002,0.001,0.025,263,0,1,0.001,0.001,0.019,263,0,1,0.001,0.001,0.019,263,0,1,0.001,0.001,0.019,263,0,1,0.002,0.001,0.025,263,0,1,0.002,0.001,0.025,263,0,1,0.001,0.001,0.019,263,0,1,0.001,0.001,0.019,263,0,1,0.001,0.001,0.019,263,0,1
"D10","RMNP","000","050","2017-12-09T19:00:00Z","2017-12-09T20:00:00Z",0.001,0.001,0.028,137,0,1,0.001,0.001,0.014,137,0,1,0.001,0.001,0.014,137,0,1,0.001,0.001,0.014,137,0,1,0.001,0.001,0.014,137,0,1,0.001,0.001,0.028,137,0,1,0.001,0.001,0.014,137,0,1,0.001,0.001,0.014,137,0,1,0.001,0.001,0.014,137,0,1,0.001,0.001,0.014,137,0,1
"D10","RMNP","000","050","2017-12-09T20:00:00Z","2017-12-09T21:00:00Z",0.002,0.001,0.03,353,0,1,0.001,0.001,0.015,353,0,1,0.001,0.001,0.015,353,0,1,0.001,0.001,0.015,353,0,1,0.001,0.001,0.014,353,0,1,0.002,0.001,0.03,353,0,1,0.001,0.001,0.015,353,0,1,0.001,0.001,0.015,353,0,1,0.001,0.001,0.015,353,0,1,0.001,0.001,0.014,353,0,1
"D10","RMNP","000","050","2017-12-09T21:00:00Z","2017-12-09T22:00:00Z",0.001,0.001,0.027,235,0,1,0.001,0.001,0.017,235,0,1,0.001,0.001,0.017,235,0,1,0.001,0.001,0.017,235,0,1,0.001,0.001,0.017,235,0,1,0.001,0.001,0.027,235,0,1,0.001,0.001,0.017,235,0,1,0.001,0.001,0.017,235,0,1,0.001,0.001,0.017,235,0,1,0.001,0.001,0.017,235,0,1
"D10","RMNP","000","050","2017-12-09T22:00:00Z","2017-12-09T23:00:00Z",0.001,0.001,0.036,473,0,1,0.001,0.001,0.025,473,0,1,0.001,0.001,0.024,473,0,1,0.001,0.001,0.024,473,0,1,0.001,0.001,0.023,473,0,1,0.001,0.001,0.036,473,0,1,0.001,0.001,0.025,473,0,1,0.001,0.001,0.024,473,0,1,0.001,0.001,0.024,473,0,1,0.001,0.001,0.023,473,0,1
"D10","RMNP","000","050","2017-12-09T23:00:00Z","2017-12-10T00:00:00Z",0.001,0.001,0.023,797,0,1,0.001,0.001,0.022,797,0,1,0.001,0.001,0.012,797,0,1,0.001,0.001,0.01,797,0,1,0.001,0.001,0.01,797,0,1,0.001,0.001,0.023,797,0,1,0.001,0.001,0.022,797,0,1,0.001,0.001,0.012,797,0,1,0.001,0.001,0.01,797,0,1,0.001,0.001,0.01,797,0,1
"D10","RMNP","000","050","2017-12-10T00:00:00Z","2017-12-10T01:00:00Z",0.001,0.001,0.046,646,0,1,0.001,0.001,0.046,646,0,1,0.001,0.001,0.046,646,0,1,0.001,0.001,0.046,646,0,1,0.001,0.001,0.046,646,0,1,0.001,0.001,0.046,646,0,1,0.001,0.001,0.046,646,0,1,0.001,0.001,0.046,646,0,1,0.001,0.001,0.046,646,0,1,0.001,0.001,0.046,646,0,1
"D10","RMNP","000","050","2017-12-10T01:00:00Z","2017-12-10T02:00:00Z",0.001,0.001,0.013,669,0,1,0.001,0.001,0.011,669,0,1,0.001,0.001,0.006,669,0,1,0.001,0.001,0.006,669,0,1,0.001,0.001,0.006,669,0,1,0.001,0.001,0.013,669,0,1,0.001,0.001,0.011,669,0,1,0.001,0.001,0.006,669,0,1,0.001,0.001,0.006,669,0,1,0.001,0.001,0.006,669,0,1
"D10","RMNP","000","050","2017-12-10T02:00:00Z","2017-12-10T03:00:00Z",0.001,0.001,0.033,280,0,1,0.001,0.001,0.023,280,0,1,0.001,0.001,0.023,280,0,1,0.001,0.001,0.022,280,0,1,0.001,0.001,0.022,280,0,1,0.001,0.001,0.033,280,0,1,0.001,0.001,0.023,280,0,1,0.001,0.001,0.023,280,0,1,0.001,0.001,0.022,280,0,1,0.001,0.001,0.022,280,0,1
"D10","RMNP","000","050","2017-12-10T03:00:00Z","2017-12-10T04:00:00Z",0.001,0.001,0.036,350,0,1,0.001,0.001,0.036,350,0,1,0.001,0.001,0.025,350,0,1,0.001,0.001,0.025,350,0,1,0.001,0.001,0.025,350,0,1,0.001,0.001,0.036,350,0,1,0.001,0.001,0.036,350,0,1,0.001,0.001,0.025,350,0,1,0.001,0.001,0.025,350,0,1,0.001,0.001,0.025,350,0,1
"D10","RMNP","000","050","2017-12-10T04:00:00Z","2017-12-10T05:00:00Z",0.001,0.001,0.02,263,0,1,0.001,0.001,0.02,263,0,1,0.001,0.001,0.007,263,0,1,0.001,0.001,0.006,263,0,1,0.001,0.001,0.006,263,0,1,0.001,0.001,0.02,263,0,1,0.001,0.001,0.02,263,0,1,0.001,0.001,0.007,263,0,1,0.001,0.001,0.006,263,0,1,0.001,0.001,0.006,263,0,1
"D10","RMNP","000","050","2017-12-10T05:00:00Z","2017-12-10T06:00:00Z",0.001,0.001,0.012,324,0,1,0.001,0.001,0.012,324,0,1,0.001,0.001,0.004,324,0,1,0.001,0.001,0.004,324,0,1,0.001,0.001,0.004,324,0,1,0.001,0.001,0.012,324,0,1,0.001,0.001,0.012,324,0,1,0.001,0.001,0.004,324,0,1,0.001,0.001,0.004,324,0,1,0.001,0.001,0.004,324,0,1
"D10","RMNP","000","050","2017-12-10T06:00:00Z","2017-12-10T07:00:00Z",0.001,0.001,0.01,154,0,1,0.001,0.001,0.01,154,0,1,0.001,0.001,0.004,154,0,1,0.001,0.001,0.004,154,0,1,0.001,0.001,0.004,154,0,1,0.001,0.001,0.01,154,0,1,0.001,0.001,0.01,154,0,1,0.001,0.001,0.004,154,0,1,0.001,0.001,0.004,154,0,1,0.001,0.001,0.004,154,0,1
"D10","RMNP","000","050","2017-12-10T07:00:00Z","2017-12-10T08:00:00Z",0.001,0.001,0.009,122,0,1,0.001,0.001,0.009,122,0,1,0.001,0.001,0.004,122,0,1,0.001,0.001,0.004,122,0,1,0.001,0.001,0.004,122,0,1,0.001,0.001,0.009,122,0,1,0.001,0.001,0.009,122,0,1,0.001,0.001,0.004,122,0,1,0.001,0.001,0.004,122,0,1,0.001,0.001,0.004,122,0,1
"D10","RMNP","000","050","2017-12-10T08:00:00Z","2017-12-10T09:00:00Z",0.001,0.001,0.028,259,0,1,0.001,0.001,0.007,259,0,1,0.001,0.001,0.006,259,0,1,0.001,0.001,0.006,259,0,1,0.001,0.001,0.006,259,0,1,0.001,0.001,0.028,259,0,1,0.001,0.001,0.007,259,0,1,0.001,0.001,0.006,259,0,1,0.001,0.001,0.006,259,0,1,0.001,0.001,0.006,259,0,1
"D10","RMNP","000","050","2017-12-10T09:00:00Z","2017-12-10T10:00:00Z",0.001,0.001,0.016,505,0,1,0.001,0.001,0.016,505,0,1,0.001,0.001,0.007,505,0,1,0.001,0.001,0.007,505,0,1,0.001,0.001,0.007,505,0,1,0.001,0.001,0.016,505,0,1,0.001,0.001,0.016,505,0,1,0.001,0.001,0.007,505,0,1,0.001,0.001,0.007,505,0,1,0.001,0.001,0.007,505,0,1
"D10","RMNP","000","050","2017-12-10T10:00:00Z","2017-12-10T11:00:00Z",0.001,0.001,0.013,351,0,1,0.001,0.001,0.013,351,0,1,0.001,0.001,0.013,351,0,1,0.001,0.001,0.013,351,0,1,0.001,0.001,0.013,351,0,1,0.001,0.001,0.013,351,0,1,0.001,0.001,0.013,351,0,1,0.001,0.001,0.013,351,0,1,0.001,0.001,0.013,351,0,1,0.001,0.001,0.013,351,0,1
"D10","RMNP","000","050","2017-12-10T11:00:00Z","2017-12-10T12:00:00Z",0.001,0.001,0.009,99,0,1,0.001,0.001,0.009,99,0,1,0.001,0.001,0.003,99,0,1,0.001,0.001,0.003,99,0,1,0.001,0.001,0.003,99,0,1,0.001,0.001,0.009,99,0,1,0.001,0.001,0.009,99,0,1,0.001,0.001,0.003,99,0,1,0.001,0.001,0.003,99,0,1,0.001,0.001,0.003,99,0,1
"D10","RMNP","000","050","2017-12-10T12:00:00Z","2017-12-10T13:00:00Z",0.001,0.001,0.012,133,0,1,0.001,0.001,0.012,133,0,1,0.001,0.001,0.007,133,0,1,0.001,0.001,0.007,133,0,1,0.001,0.001,0.007,133,0,1,0.001,0.001,0.012,133,0,1,0.001,0.001,0.012,133,0,1,0.001,0.001,0.007,133,0,1,0.001,0.001,0.007,133,0,1,0.001,0.001,0.007,133,0,1
"D10","RMNP","000","050","2017-12-10T13:00:00Z","2017-12-10T14:00:00Z",0.001,0.001,0.023,170,0,1,0.001,0.001,0.012,170,0,1,0.001,0.001,0.003,170,0,1,0.001,0.001,0.003,170,0,1,0.001,0.001,0.003,170,0,1,0.001,0.001,0.023,170,0,1,0.001,0.001,0.012,170,0,1,0.001,0.001,0.003,170,0,1,0.001,0.001,0.003,170,0,1,0.001,0.001,0.003,170,0,1
"D10","RMNP","000","050","2017-12-10T14:00:00Z","2017-12-10T15:00:00Z",0.001,0.001,0.026,420,0,1,0.001,0.001,0.02,420,0,1,0.001,0.001,0.008,420,0,1,0.001,0.001,0.007,420,0,1,0.001,0.001,0.007,420,0,1,0.001,0.001,0.026,420,0,1,0.001,0.001,0.02,420,0,1,0.001,0.001,0.008,420,0,1,0.001,0.001,0.007,420,0,1,0.001,0.001,0.007,420,0,1
"D10","RMNP","000","050","2017-12-10T15:00:00Z","2017-12-10T16:00:00Z",0.001,0.001,0.015,665,0,1,0.001,0.001,0.012,665,0,1,0.001,0.001,0.005,665,0,1,0.001,0.001,0.005,665,0,1,0.001,0.001,0.005,665,0,1,0.001,0.001,0.015,665,0,1,0.001,0.001,0.012,665,0,1,0.001,0.001,0.005,665,0,1,0.001,0.001,0.005,665,0,1,0.001,0.001,0.005,665,0,1
"D10","RMNP","000","050","2017-12-10T16:00:00Z","2017-12-10T17:00:00Z",0.002,0.001,0.03,314,0.001,1,0.001,0.001,0.02,314,0,1,0.001,0.001,0.02,314,0,1,0.001,0.001,0.02,314,0,1,0.001,0.001,0.02,314,0,1,0.002,0.001,0.03,314,0.001,1,0.001,0.001,0.02,314,0,1,0.001,0.001,0.02,314,0,1,0.001,0.001,0.02,314,0,1,0.001,0.001,0.02,314,0,1
"D10","RMNP","000","050","2017-12-10T17:00:00Z","2017-12-10T18:00:00Z",0.002,0.001,0.066,89,0,1,0.002,0.001,0.046,89,0,1,0.001,0.001,0.026,89,0,1,0.001,0.001,0.026,89,0,1,0.001,0.001,0.026,89,0,1,0.002,0.001,0.066,89,0,1,0.002,0.001,0.046,89,0,1,0.001,0.001,0.026,89,0,1,0.001,0.001,0.026,89,0,1,0.001,0.001,0.026,89,0,1
"D10","RMNP","000","050","2017-12-10T18:00:00Z","2017-12-10T19:00:00Z",0.002,0.001,0.016,42,0,1,0.002,0.001,0.008,42,0,1,0.001,0.001,0.007,42,0,1,0.001,0.001,0.007,42,0,1,0.001,0.001,0.007,42,0,1,0.002,0.001,0.016,42,0,1,0.002,0.001,0.008,42,0,1,0.001,0.001,0.007,42,0,1,0.001,0.001,0.007,42,0,1,0.001,0.001,0.007,42,0,1
"D10","RMNP","000","050","2017-12-10T19:00:00Z","2017-12-10T20:00:00Z",0.001,0.001,0.011,47,0,1,0.001,0.001,0.01,47,0,1,0.001,0.001,0.002,47,0,1,0.001,0.001,0.002,47,0,1,0.001,0.001,0.002,47,0,1,0.001,0.001,0.011,47,0,1,0.001,0.001,0.01,47,0,1,0.001,0.001,0.002,47,0,1,0.001,0.001,0.002,47,0,1,0.001,0.001,0.002,47,0,1
"D10","RMNP","000","050","2017-12-10T20:00:00Z","2017-12-10T21:00:00Z",0.001,0.001,0.02,190,0,1,0.001,0.001,0.019,190,0,1,0.001,0.001,0.01,190,0,1,0.001,0.001,0.01,190,0,1,0.001,0.001,0.01,190,0,1,0.001,0.001,0.02,190,0,1,0.001,0.001,0.019,190,0,1,0.001,0.001,0.01,190,0,1,0.001,0.001,0.01,190,0,1,0.001,0.001,0.01,190,0,1
"D10","RMNP","000","050","2017-12-10T21:00:00Z","2017-12-10T22:00:00Z",0.001,0.001,0.052,687,0,1,0.001,0.001,0.042,687,0,1,0.001,0.001,0.037,687,0,1,0.001,0.001,0.037,687,0,1,0.001,0.001,0.037,687,0,1,0.001,0.001,0.052,687,0,1,0.001,0.001,0.042,687,0,1,0.001,0.001,0.037,687,0,1,0.001,0.001,0.037,687,0,1,0.001,0.001,0.037,687,0,1
"D10","RMNP","000","050","2017-12-10T22:00:00Z","2017-12-10T23:00:00Z",0.001,0.001,0.022,1635,0,1,0.001,0.001,0.022,1635,0,1,0.001,0.001,0.012,1635,0,1,0.001,0.001,0.011,1635,0,1,0.001,0.001,0.011,1635,0,1,0.001,0.001,0.022,1635,0,1,0.001,0.001,0.022,1635,0,1,0.001,0.001,0.012,1635,0,1,0.001,0.001,0.011,1635,0,1,0.001,0.001,0.011,1635,0,1
"D10","RMNP","000","050","2017-12-10T23:00:00Z","2017-12-11T00:00:00Z",0.001,0.001,0.045,1798,0,1,0.001,0.001,0.045,1798,0,1,0.001,0.001,0.045,1798,0,1,0.001,0.001,0.045,1798,0,1,0.001,0.001,0.045,1798,0,1,0.001,0.001,0.045,1798,0,1,0.001,0.001,0.045,1798,0,1,0.001,0.001,0.045,1798,0,1,0.001,0.001,0.045,1798,0,1,0.001,0.001,0.045,1798,0,1
"D10","RMNP","000","050","2017-12-11T00:00:00Z","2017-12-11T01:00:00Z",0.001,0.001,0.035,2761,0,1,0.001,0.001,0.031,2761,0,1,0.001,0.001,0.02,2761,0,1,0.001,0.001,0.02,2761,0,1,0.001,0.001,0.02,2761,0,1,0.001,0.001,0.035,2761,0,1,0.001,0.001,0.031,2761,0,1,0.001,0.001,0.02,2761,0,1,0.001,0.001,0.02,2761,0,1,0.001,0.001,0.02,2761,0,1
"D10","RMNP","000","050","2017-12-11T01:00:00Z","2017-12-11T02:00:00Z",0.001,0.001,0.021,2441,0,1,0.001,0.001,0.02,2441,0,1,0.001,0.001,0.012,2441,0,1,0.001,0.001,0.012,2441,0,1,0.001,0.001,0.012,2441,0,1,0.001,0.001,0.021,2441,0,1,0.001,0.001,0.02,2441,0,1,0.001,0.001,0.012,2441,0,1,0.001,0.001,0.012,2441,0,1,0.001,0.001,0.012,2441,0,1
"D10","RMNP","000","050","2017-12-11T02:00:00Z","2017-12-11T03:00:00Z",0.001,0.001,0.017,458,0,1,0.001,0.001,0.011,458,0,1,0.001,0.001,0.006,458,0,1,0.001,0.001,0.005,458,0,1,0.001,0.001,0.005,458,0,1,0.001,0.001,0.017,458,0,1,0.001,0.001,0.011,458,0,1,0.001,0.001,0.006,458,0,1,0.001,0.001,0.005,458,0,1,0.001,0.001,0.005,458,0,1
"D10","RMNP","000","050","2017-12-11T03:00:00Z","2017-12-11T04:00:00Z",0.001,0.001,0.022,139,0,1,0.001,0.001,0.011,139,0,1,0.001,0.001,0.011,139,0,1,0.001,0.001,0.011,139,0,1,0.001,0.001,0.011,139,0,1,0.001,0.001,0.022,139,0,1,0.001,0.001,0.011,139,0,1,0.001,0.001,0.011,139,0,1,0.001,0.001,0.011,139,0,1,0.001,0.001,0.011,139,0,1
"D10","RMNP","000","050","2017-12-11T04:00:00Z","2017-12-11T05:00:00Z",0.001,0.001,0.006,127,0,1,0.001,0.001,0.006,127,0,1,0.001,0.001,0.004,127,0,1,0.001,0.001,0.004,127,0,1,0.001,0.001,0.004,127,0,1,0.001,0.001,0.006,127,0,1,0.001,0.001,0.006,127,0,1,0.001,0.001,0.004,127,0,1,0.001,0.001,0.004,127,0,1,0.001,0.001,0.004,127,0,1
"D10","RMNP","000","050","2017-12-11T05:00:00Z","2017-12-11T06:00:00Z",0.001,0.001,0.014,331,0,1,0.001,0.001,0.012,331,0,1,0.001,0.001,0.006,331,0,1,0.001,0.001,0.006,331,0,1,0.001,0.001,0.006,331,0,1,0.001,0.001,0.014,331,0,1,0.001,0.001,0.012,331,0,1,0.001,0.001,0.006,331,0,1,0.001,0.001,0.006,331,0,1,0.001,0.001,0.006,331,0,1
"D10","RMNP","000","050","2017-12-11T06:00:00Z","2017-12-11T07:00:00Z",0.001,0.001,0.048,252,0,1,0.001,0.001,0.038,252,0,1,0.001,0.001,0.013,252,0,1,0.001,0.001,0.013,252,0,1,0.001,0.001,0.013,252,0,1,0.001,0.001,0.048,252,0,1,0.001,0.001,0.038,252,0,1,0.001,0.001,0.013,252,0,1,0.001,0.001,0.013,252,0,1,0.001,0.001,0.013,252,0,1
"D10","RMNP","000","050","2017-12-11T07:00:00Z","2017-12-11T08:00:00Z",0.001,0.001,0.016,513,0,1,0.001,0.001,0.015,513,0,1,0.001,0.001,0.015,513,0,1,0.001,0.001,0.015,513,0,1,0.001,0.001,0.015,513,0,1,0.001,0.001,0.016,513,0,1,0.001,0.001,0.015,513,0,1,0.001,0.001,0.015,513,0,1,0.001,0.001,0.015,513,0,1,0.001,0.001,0.015,513,0,1
"D10","RMNP","000","050","2017-12-11T08:00:00Z","2017-12-11T09:00:00Z",0.001,0.001,0.016,524,0,1,0.001,0.001,0.016,524,0,1,0.001,0.001,0.008,524,0,1,0.001,0.001,0.008,524,0,1,0.001,0.001,0.008,524,0,1,0.001,0.001,0.016,524,0,1,0.001,0.001,0.016,524,0,1,0.001,0.001,0.008,524,0,1,0.001,0.001,0.008,524,0,1,0.001,0.001,0.008,524,0,1
"D10","RMNP","000","050","2017-12-11T09:00:00Z","2017-12-11T10:00:00Z",0.001,0.001,0.025,957,0,1,0.001,0.001,0.015,957,0,1,0.001,0.001,0.008,957,0,1,0.001,0.001,0.008,957,0,1,0.001,0.001,0.008,957,0,1,0.001,0.001,0.025,957,0,1,0.001,0.001,0.015,957,0,1,0.001,0.001,0.008,957,0,1,0.001,0.001,0.008,957,0,1,0.001,0.001,0.008,957,0,1
"D10","RMNP","000","050","2017-12-11T10:00:00Z","2017-12-11T11:00:00Z",0.001,0.001,0.018,1276,0,1,0.001,0.001,0.013,1276,0,1,0.001,0.001,0.007,1276,0,1,0.001,0.001,0.007,1276,0,1,0.001,0.001,0.007,1276,0,1,0.001,0.001,0.018,1276,0,1,0.001,0.001,0.013,1276,0,1,0.001,0.001,0.007,1276,0,1,0.001,0.001,0.007,1276,0,1,0.001,0.001,0.007,1276,0,1
"D10","RMNP","000","050","2017-12-11T11:00:00Z","2017-12-11T12:00:00Z",0.001,0.001,0.02,2488,0,1,0.001,0.001,0.02,2488,0,1,0.001,0.001,0.011,2488,0,1,0.001,0.001,0.011,2488,0,1,0.001,0.001,0.011,2488,0,1,0.001,0.001,0.02,2488,0,1,0.001,0.001,0.02,2488,0,1,0.001,0.001,0.011,2488,0,1,0.001,0.001,0.011,2488,0,1,0.001,0.001,0.011,2488,0,1
"D10","RMNP","000","050","2017-12-11T12:00:00Z","2017-12-11T13:00:00Z",0.001,0.001,0.013,1515,0,1,0.001,0.001,0.011,1515,0,1,0.001,0.001,0.004,1515,0,1,0.001,0.001,0.004,1515,0,1,0.001,0.001,0.004,1515,0,1,0.001,0.001,0.013,1515,0,1,0.001,0.001,0.011,1515,0,1,0.001,0.001,0.004,1515,0,1,0.001,0.001,0.004,1515,0,1,0.001,0.001,0.004,1515,0,1
"D10","RMNP","000","050","2017-12-11T13:00:00Z","2017-12-11T14:00:00Z",0.001,0.001,0.032,3327,0,0,0.001,0.001,0.022,3327,0,0,0.001,0.001,0.022,3327,0,0,0.001,0.001,0.022,3327,0,0,0.001,0.001,0.022,3327,0,0,0.001,0.001,0.032,3327,0,0,0.001,0.001,0.022,3327,0,0,0.001,0.001,0.022,3327,0,0,0.001,0.001,0.022,3327,0,0,0.001,0.001,0.022,3327,0,0
"D10","RMNP","000","050","2017-12-11T14:00:00Z","2017-12-11T15:00:00Z",0.001,0.001,0.043,3314,0,0,0.001,0.001,0.032,3314,0,0,0.001,0.001,0.028,3314,0,0,0.001,0.001,0.028,3314,0,0,0.001,0.001,0.028,3314,0,0,0.001,0.001,0.043,3314,0,0,0.001,0.001,0.032,3314,0,0,0.001,0.001,0.028,3314,0,0,0.001,0.001,0.028,3314,0,0,0.001,0.001,0.028,3314,0,0
"D10","RMNP","000","050","2017-12-11T15:00:00Z","2017-12-11T16:00:00Z",0.001,0.001,0.015,3449,0,1,0.001,0.001,0.015,3449,0,1,0.001,0.001,0.008,3449,0,1,0.001,0.001,0.008,3449,0,1,0.001,0.001,0.008,3449,0,1,0.001,0.001,0.015,3449,0,1,0.001,0.001,0.015,3449,0,1,0.001,0.001,0.008,3449,0,1,0.001,0.001,0.008,3449,0,1,0.001,0.001,0.008,3449,0,1
